name01#0,"""Квентийский Солдат"""
name02#0,"""???"""
st_053020_0160#0,"""Замок Квент, тронный зал"""
st_053020_0170#0,"""Деспот Лутц,<br>восседающий на троне,<br>разочаровано слушал<br>доклад подчиненных"""
st_053020_0180#0,"""И как это произошло?<br>Кажется, я велел<br>покарать предателей."""
st_053020_0190#0,"""Лютер и Гариетта еще живы...<br>И Дьявольские Замки,<br>что мы стремились развивать<br>повсеместно, уничтожаются"""
st_053020_0200#0,"""Дьявольские замки,<br>воистину непобедимые крепости,<br>неуязвимы благодаря силе<br>Дьявольских Барьеров"""
st_053020_0210#0,"""Если есть способ разрушить<br>барьер,то победить их возможно"""
st_053020_0220#0,"""Вот почему я спрашиваю ТЕБЯ,<br>что мы собираемся с этим делать?"""
st_053020_0230#0,"""Пожалуйста, успокойся, дядя..."""
st_053020_0240#0,"""Невозможно! Дьявольские замки<br>разрушаются...!"""
st_053020_0250#0,"""Принцесса Гариетта,<br>обладающая силой уничтожать<br>Дьявольские замки, в компании<br>так называемого Стража"""
st_053020_0260#0,"""А также, два наследника престола<br>на их стороне. Хотя власть<br>в королевстве принадлежит дяде,<br>их причины оправданы"""
st_053020_0270#0,"""Алиса... На чьей ты стороне?"""
st_053020_0280#0,"""Как Дева Меча,<br>я говорю лишь факты."""
st_053020_0290#0,"""Если твои мысли о королевстве<br>и о народе, лучше встать<br>на путь примирения"""
st_053020_0300#0,"""Нет! Не желаю мириться<br>с потомками короля, который<br>пытался привести свою страну<br>к краху!"""
st_053020_0310#0,"""Дядя... Он в самом деле пытался<br>это сделать?..."""
st_053020_0320#0,"""Что ты делаешь?!<br>Дьявольские Замки и Эфемера<br>необходимы для сохранения<br>нашей страны в этом мире!"""
st_053020_0330#0,"""Разрушить их - уничтожить нацию!<br>Уничтожить всю нашу историю!"""
st_053020_0340#0,"""Даже легенды о тебе и твоем мече<br>будут забыты! Понимаешь ли ты,<br>Дева Меча Алиса?"""
st_053020_0350#0,"""Да..."""
st_053020_0360#0,"""Дядя говорит верно...<br>Без силы дьявольских замков<br>мы не можем выжить в этом мире"""
st_053020_0370#0,"""Тогда зачем оставлять<br>Дьявольские Замки и пытаться<br>уничтожить Эфемеру?"""
st_053020_0380#0,"""Полагаю, у нас нет выбора,<br>кроме как спросить у них самих."""
