st_053060_0430#0,"""Что ты нашел, Варуна?<br>Присутствие Лутца???"""
st_053060_0440#0,"""Мы не уверены...<br>Но он точно попал под обвал."""
st_053060_0450#0,"""Ясно..."""
st_053060_0460#0,"""Леди Алиса..."""
st_053060_0470#0,"""Я в порядке...<br>Я была готова посмотреть<br>правде в глаза.<br>Было ясно,<br>что мой дядя не был прежним<br>в последние минуты жизни."""
st_053060_0480#0,"""Я думаю... Он сошел с ума?"""
st_053060_0490#0,"""Что...?"""
st_053060_0500#0,"""Похоже, он находился<br>под влиянием чего-то большего."""
st_053060_0510#0,"""Брат... Что ты имеешь в виду<br>под \""чем-то большим\""?"""
st_053060_0520#0,"""Я пока не уверен...<br>Однако я знаю,<br>что без сьерьезной причины,<br>Спаситель не появился бы."""
st_053060_0530#0,"""Это проблемы<br>не только этой страны.<br>Это начало катаклизма,<br>что повлияет на весь мир.<br>Правда, Страж?"""
