st_051040_0001#0,"""A.P.241/9/23 11:00"""
st_051040_0010#0,"""Отлично, я иду!<br><%me>！<br>Матой!\u3000Еще немного!"""
st_051040_0020#0,"""Поднажми...<br>Помоги!"""
st_051040_0030#0,"""Не позволю!"""
st_051040_0040#0,"""!!"""
st_051040_0050#0,"""Выкуси!"""
st_051040_0060#0,"""Хаааа!"""
st_051040_0070#0,"""Сейчас"""
st_051040_0080#0,"""Мы навелись на данные [Персоны].<br>теперь все в твоих руках!"""
st_051040_0090#0,"""Вот наш шанс!"""
st_051040_0100#0,"""1. Еще немного!"""
st_051040_0110#0,"""2. Я тебя спасу!"""
st_051040_0120#0,"""Что происходит...?<br>Похоже на... какое-то искажение?"""
st_051040_0130#0,"""Манипуляции с временем<br>и пространством!?<br>Он пытается сбежать, но куда!?"""
st_051040_0140#0,"""<%me>!"""
st_051040_0150#0,"""Энергетические сигналы...<br>Энергетические модели...<br>Куда они ушли? Что? Что? Чтооо!?"""
st_051040_0160#0,"""Успокойся, Сиерра.<br>Сигнал прервался.<br>Мы... их потеряли"""
st_051040_0170#0,"""Нет, не может быть..."""
st_051040_0180#0,"""<%me><br><%me>...!!"""
