name01#0,"""Хунар"""
st_054130_0010#0,"""Что это... Эта непреодолимая сила, Страж...!"""
st_054130_0020#0,"""Нет, это тоже... ошибка."""
st_054130_0030#0,"""Невероятно!.. Я... проиграл!..."""
st_054130_0040#0,"""<%me>! Ты в порядке!?"""
st_054130_0050#0,"""1. Что это было?"""
st_054130_0060#0,"""2. Неважно. ОНИ в порядке?..."""
st_054130_0070#0,"""Я тоже не знаю... Энергетический сигнал был такой же, как у Дарк Фальца [Старейшего]..."""
st_054130_0080#0,"""Верно, Мельфонсина..."""
st_054130_0090#0,"""Геттемхарта больше нет. И мельфонфсина..."""
st_054130_0100#0,"""Эй, <%me>.<br>Выкажи благодарность за то, что я позволил использовать свою силу"""
st_054130_0110#0,"""Йо, Сина.<br>Мы выглядели как пара придурков."""
st_054130_0120#0,"""Действительно, Геттемхарт...<br>Меня смогли использовать<br>против тебя. Это так глупо"""
st_054130_0130#0,"""Ну, теперь все кончено. <%me> закончил с этим за нас."""
st_054130_0140#0,"""Да, я видела.<br>Как и ожидалось от Стража.<br>Большое спасибо..."""
st_054130_0150#0,"""Это был долгий путь."""
st_054130_0160#0,"""Чертовски верно."""
st_054130_0170#0,"""Я... устала...<br>никто не будет против,<br>если я немного отдохну?"""
st_054130_0180#0,"""Ха, тем, кто успел отдохнуть, грех жаловаться."""
st_054130_0190#0,"""Тогда, наверное, я посплю..."""
st_054130_0200#0,"""Конечно."""
st_054130_0210#0,"""Прощай, Геттемхарт..."""
st_054130_0220#0,"""Увидимся, Сина."""
st_054130_0230#0,"""Это конец для нас.<br>Конец воспоминаний о Сине и мертвом парне."""
st_054130_0240#0,"""Но все же, <%me>.<br>Для тебя еще не все кончено.<br>У тебя еще чертовски много дел."""
st_054130_0250#0,"""Эфемере и Дьявольские Замки...<br>Они - корни разрушения<br>в этом мире."""
st_054130_0260#0,"""Они еще остались в этой стране."""
st_054130_0270#0,"""Мы должны их разрушить...<br>Во имя этих двоих."""
st_054120_0430#0,"""Меня поглотил [Старейший],<br>а потом поглотил и Страж.<br>Ха, странный поворот судьбы..."""
st_054120_0440#0,"""Я знал, что у тебя та же аура,<br>с тех пор, как встретил тебя<br>на Набериусе... Но я и<br>представить не мог,<br>что буду поглощен тобой."""
st_054120_0450#0,"""Я не буду утруждать себя<br>вопросом, что происходит.<br>В конце концов, это все прихоть<br>Хроник Акаши. Размышлять об этом<br>бесполезно."""
st_054120_0460#0,"""Теперь иди, используй мою силу.<br>Это сила [Старейшего]."""
st_054120_0470#0,"""И спаси их...<br>Покажи, как ты справишься."""
st_054120_0480#0,"""<%me>, Ты получил<br>фотоны Геттемхарта..."""
st_054120_0490#0,"""Нет, это...<br>энергия[Старейшего]!"""
st_054120_0500#0,"""<%me>... Что это?"""
st_054120_0510#0,"""Выглядит, будто ты...<br>Даркер!"""
st_054120_0520#0,"""Аххаха, хахаха.<br>Так ты получил силу,<br>схожую с моей!<br>Ты действительно<br>достойный противник!"""
st_054120_0530#0,"""Страж, мы будем сражаться<br>один на один!"""
st_054120_0540#0,"""1. Не только со мной."""
st_054120_0550#0,"""2. Нас трое."""
st_054120_0560#0,"""Наши мысли...<br>Мы доверяем их тебе."""
st_054120_0570#0,"""Используй все, что у тебя есть,<br>и вдарь ему посильнее!"""
skit01#0,"""***"""
skit02#0,"""***"""
